Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,_1stFlrSF,_2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,_3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceLog,GrLivAreaLog,Hood,ExteriorQual,KitchQual,BasemtQual,GarageFin,FenceQ,PoolQ,GarageC,GarageQ,FireplaceQ,HmFunctional,HeatingQ,BsmtFinType1q,BsmtFinType2q,BsmtExposur,BsmtCondQ,ExterCondQ,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,GarageArea,GarageCars,GarageYrBlt,MasVnrArea,TotalBsmtSF,LotFrontage
1,60,RL,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,856,854,0,1710,2,1,3,1,Gd,8,Typ,0,NA,Attchd,RFn,TA,TA,Y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,208500,12.24769432,7.4442486495,3,4,4,5,3,1,1,4,4,1,8,5,7,2,2,4,4,706,0,1,0,150,548,2,2003,196,856,65
2,20,RL,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,1262,0,0,1262,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,TA,TA,Y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,181500,12.109010933,7.1404530431,3,3,3,5,3,1,1,4,4,4,8,5,6,2,5,4,4,978,0,0,1,284,460,2,1976,0,1262,80
3,60,RL,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,920,866,0,1786,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,TA,TA,Y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,223500,12.317166693,7.4877337614,3,4,4,5,3,1,1,4,4,4,8,5,7,2,3,4,4,486,0,1,0,434,608,2,2001,162,920,68
4,70,RL,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,TA,TA,Y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000,11.849397702,7.4483338609,3,3,4,4,2,1,1,4,4,5,8,4,6,2,2,5,4,216,0,1,0,540,642,3,1998,0,756,60
5,60,RL,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1145,1053,0,2198,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,TA,TA,Y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,250000,12.429216197,7.695303135,4,4,4,5,3,1,1,4,4,4,8,5,7,2,4,4,4,655,0,1,0,490,836,3,2000,350,1145,84
6,50,RL,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,796,566,0,1362,1,1,1,1,TA,5,Typ,0,NA,Attchd,Unf,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000,11.870599909,7.2167094867,2,3,3,5,2,4,1,4,4,1,8,5,7,2,2,4,4,732,0,1,0,64,480,2,1993,0,796,85
7,20,RL,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1694,0,0,1694,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,TA,TA,Y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,307000,12.634603027,7.4348478752,3,4,4,6,3,1,1,4,4,5,8,5,7,2,4,4,4,1369,0,1,0,317,636,2,2004,186,1686,75
8,60,RL,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,1107,983,0,2090,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,TA,TA,Y,235,204,228,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,200000,12.206072646,7.644919345,3,3,3,5,3,1,1,4,4,4,8,5,6,5,3,4,4,859,32,1,0,216,484,2,1973,240,1107,102
9,50,RM,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,1022,752,0,1774,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,Fa,TA,Y,90,0,205,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900,11.774520203,7.4809921629,2,3,3,4,2,1,1,4,0,4,7,4,2,2,2,4,4,0,0,0,0,952,468,2,1931,0,952,51
10,190,RL,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,Gd,TA,Y,0,4,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,118000,11.678439903,6.9819346772,2,3,3,4,3,1,1,4,5,4,8,5,7,2,2,4,4,851,0,1,0,140,205,1,1939,0,991,50
